sample	sample_sol	frac_at_odd	frac_at_2	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	wgii	goodness_of_fit	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.7	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.75825	0	247499999	0	0	0.135763060192737	1.5	0.7	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.264236939807263					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.75	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.757583333333335	0	247499999	0	0	0.102882103468289	1.5	0.75	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.297117896531711					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.8	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.757	0	247499999	0	0	0.0741112663344068	1.5	0.8	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.325888733665593					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.85	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.756485294117645	0	247499999	0	0	0.0487252335692116	1.5	0.85	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.351274766430788					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.9	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.75602777777778	0	247499999	0	0	0.0261598711112602	1.5	0.9	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.37384012888874					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.95	0	0.00180759151663337	0	0	1	0	0.977224343058325	25	0.75561842105263	0	247499999	0	0	0.0059698099646735	1.5	0.95	0	FALSE	FALSE		FALSE	FALSE		0	0	0.001	0	0.0059698099646735					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:1	0	0.00180759151663337	0	0	1	0	0.977224343058325	25	0.75525	0	247499999	0	0	0	1.5	1	0	FALSE	FALSE		TRUE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.6:0.025	0.0874382876338262	0.27231267490912	0.0291022288767247	0.0291022288767247	1	0.223960631533891	0.172533604319699	25	0.919399999999995	80.499999	62499999	0.492881141392004	0.476129215916193	11.2518461845986	1.6	0.025	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0.270658280146545	3.66279523059428	0.0874382876338262	0	7.65184618459862					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.6:0.1	0	0.153957668026774	0	0	1	0	0.759458682455831	25	0.8196	0	36499999	0.0518778857621355	0.0923384788540442	4.35251630213957	1.6	0.1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0	0	0.001	0	4.35251630213957					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.6:0.2	0	0.0982838385412183	0	0	1	0.0455513146063872	0.870806341065424	25	0.8096	0	57999999	0.00180759151467294	0.00142938794495327	3.7684675135115	1.6	0.2	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.352581659053827	6.21569131505745	0.001	0	-2.4315324864885					FALSE
