sample	sample_sol	frac_at_odd	frac_at_2	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	gii	wgii	goodness_of_fit	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	purity_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.025	0.141568636639401	0	0.431014606618866	0.537839798327705	0.910761010187227	0.129021229927597	0.513613027084344	29	0.789749999999995	158.999999	0.613536856508779	0.76553030098954	10.8753045471046	1.5	0.025	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.265264567334477	3.51826453415737	0.141568636639401	0	7.27530454710464					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.05	0.374979902500258	0.137888047418769	0.162859895827447	0.513953680051041	0.924179670314591	0.0141145239262453	0.248068656119798	29	0.9075	89.499999	0.537256480056543	0.70355679250361	22.918777540975	1.5	0.05	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.018771027489571	0.0176175736507115	0.374979902500258	0	22.918777540975					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.075	0.329679560744441	0.137888047418769	0.110925684056791	0.330765291600276	0.994752292479194	0.217931833019416	0.169917159962035	29	0.880833333333335	89.499999	0.537256480056543	0.70355679250361	13.7002181607499	1.5	0.075	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.262542269888929	3.44642217392156	0.329679560744441	0	10.3002181607499					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.1	0.222241239513466	0.0763631967419259	0.0557342746518766	0.229479455473177	0.997466624142668	0.240078660405116	0.160869387750453	29	0.836999999999999	57.999999	0.537256480056543	0.70355679250361	6.45864958017243	1.5	0.1	0	TRUE	TRUE	FALSE	FALSE	FALSE	0.286104042565568	4.09277615861802	0.222241239513466	0	2.45864958017243					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.15	0.150554926705429	0	0.0123049691220181	0.140240465660404	1	0.130677785456083	0.315767247288906	29	0.814166666666665	14.499999	0.513396267652336	0.666289711859976	6.83720535346813	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.190984405435587	1.82375215597923	0.150554926705429	0	5.03720535346813	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.2	0.103868422455579	0	0.00705726160121178	0.0881252988074274	1	0.0935539624962871	0.49515557249654	29	0.7595	12.499999	0.330406557570818	0.439016984587248	3.15283191061845	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.185312459442064	1.71703538122334	0.103868422455579	0	1.35283191061845	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.25	0.0836014130635475	0	0.00452388574387985	0.0557342746518766	1	0.0479531912737383	0.722024485834657	29	0.7575	12.499999	0.277674033693179	0.393562439132703	1.21986587562348	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.172508688104144	1.48796237357065	0.0836014130635475	0	-0.180134124376525	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.3	0.0512103889079967	0	0.00452388574387985	0.0123049691220181	1	0.00524770752080637	0.813587939530129	29	0.756166666666665	12.499999	0.190728865171413	0.313529971677926	0.446009926488859	1.5	0.3	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0281511159073023	0.0396242663413183	0.0512103889079967	0	0.446009926488859	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.35	0.00778108337813829	0	0.00452388574387985	0.0123049691220181	1	0.0123049691220181	0.837140104172553	29	0.755214285714285	12.499999	0.162683264880516	0.26807542622338	0.209009998588327	1.5	0.35	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0755555507358023	0.28543206234952	0.00778108337813829	0	0.00900999858832743	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.4	0.00778108337813829	0	0.00452388574387985	0.00705726160121178	0.99547611425612	0.00253337585733193	0.864283420083476	29	0.7545	12.499999	0.140088366789643	0.222620880768835	0.370144357290979	1.5	0.4	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0186666644479999	0.0174222180807113	0.00778108337813829	0	0.370144357290979	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.45	0.00253337585733193	0	0.00452388574387985	0.00705726160121178	0.99547611425612	0.00253337585733193	0.889074315943209	29	0.753944444444445	12.499999	0.110805378756862	0.177166335314289	0.211908876051395	1.5	0.45	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0228384965923213	0.0260798463298735	0.00253337585733193	0	0.211908876051395	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.5	0.00253337585733193	0	0.00452388574387985	0.00452388574387985	1	0	0.898664954125575	29	0.7535	12.499999	0.101225142174566	0.170474416337718	0	1.5	0.5	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00253337585733193	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.55	0.00253337585733193	0	0.00452388574387985	0.00452388574387985	1	0.00452388574387985	0.944265725348123	29	0.753136363636365	12.499999	0.0880297218398882	0.157952975762942	0	1.5	0.55	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0811688278377466	0.329418930627687	0.00253337585733193	0	-0.4	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.6	0	0	0.00452388574387985	0.00452388574387985	1	0	0.944265725348123	29	0.752833333333335	12.499999	0.0556738276175821	0.112498430308397	0	1.5	0.6	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.65	0	0	0.00452388574387985	0.00452388574387985	1	0	0.95512305164011	29	0.752576923076925	12.499999	0.0556738276175821	0.112498430308397	0	1.5	0.65	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.7	0	0	0.00452388574387985	0.00452388574387985	1	0	0.992218916621862	29	0.752357142857145	12.499999	0.0448282767219526	0.104922672943077	0	1.5	0.7	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.75	0	0	0.00452388574387985	0.00452388574387985	1	0	0.992218916621862	29	0.752166666666665	12.499999	0.0122916236735458	0.0140135820339858	0	1.5	0.75	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.8	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992218916621862	29	0.752	0	0.0122916236735458	0.0140135820339858	0.000000000000000100450449254345	1.5	0.8	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.000000000000000100450449254345	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.85	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992218916621862	29	0.75185294117647	0	0.0122916236735458	0.0140135820339858	0.116423538265348	1.5	0.85	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.116423538265348	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.9	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992942738398788	29	0.75172222222222	0	0.0122916236735458	0.0140135820339858	0.219911127834546	1.5	0.9	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.219911127834546	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:0.95	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992942738398788	29	0.751605263157895	0	0.00704960759410936	0.00582611778772704	0.312505286922776	1.5	0.95	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.312505286922776	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.5:1	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992942738398788	29	0.7515	0	0.00704960759410936	0.00582611778772704	0.395840030102184	1.5	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	0	0	0.00452388574387985	0	0.395840030102184					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.025	0.241817951657991	0.0714774001095828	0.330765291600276	0.537839798327705	0.949304519446654	0.0832395036227278	0.535870545639102	29	0.839799999999995	145.864021	0.613536856508779	0.76553030098954	16.0869974691297	1.6	0.025	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.17934544519987	1.60823943569697	0.241817951657991	0	14.4869974691297					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.05	0.290774140958462	0.137888047418769	0.140240465660404	0.330765291600276	0.956570694470141	0.271494643788157	0.393606044476997	29	0.8396	89.499999	0.537256480056543	0.70355679250361	20.6813196029999	1.6	0.05	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.447719904387896	10.0226556392553	0.290774140958462	0	10.6813196029999					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.075	0.189850215357915	0.137888047418769	0.101335045874425	0.229479455473177	0.994752292479194	0.207144769554959	0.384711271179246	29	0.826266666666665	89.499999	0.513396267652336	0.666289711859976	14.3160355066059	1.6	0.075	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.336662707850942	5.66708894287645	0.189850215357915	0	8.71603550660586					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.1	0.117982947467557	0.137888047418769	0.0557342746518766	0.140240465660404	0.997466624142668	0.0990105830774589	0.370234835640716	29	0.8098	57.999999	0.330406557570818	0.439016984587248	8.94582182041124	1.6	0.1	0	TRUE	TRUE	FALSE	FALSE	FALSE	0.157218259568535	1.23587905708796	0.117982947467557	0	7.74582182041124					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.15	0.103868422455579	0.0763631967419259	0.00705726160121178	0.101335045874425	1	0.0845061910085274	0.414930830727839	29	0.812933333333335	12.499999	0.22923057177277	0.348107893678157	4.5462521509829	1.6	0.15	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.144437949300345	1.04311605990446	0.103868422455579	0	3.5462521509829	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.2	0.0512103889079967	0.034743444930562	0.00452388574387985	0.0448769483598897	1	0.0758203296854092	0.648194664950064	29	0.8	12.499999	0.140088366789643	0.222620880768835	0.868007065780187	1.6	0.2	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.215517850730282	2.32239719917002	0.0512103889079967	0	-1.53199293421981	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.25	0.00778108337813829	0	0.00452388574387985	0.0123049691220181	1	0.0378196867586779	0.735777099596261	29	0.8	12.499999	0.110805378756862	0.177166335314289	0.707499588431323	1.6	0.25	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.143135537082095	1.02438909878898	0.00778108337813829	0	-0.292500411568677	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.3	0.00778108337813829	0	0.00452388574387985	0.00705726160121178	1	0.00524770752080637	0.859759534339596	29	0.796866666666665	12.499999	0.0880297218398882	0.157952975762942	0.144233551235104	1.6	0.3	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0374193532237252	0.0700103997840958	0.00778108337813829	0	0.144233551235104	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.35	0.00253337585733193	0	0.00452388574387985	0.00705726160121178	1	0.00253337585733193	0.859759534339596	29	0.797342857142855	12.499999	0.0556738276175821	0.112498430308397	0.0453112427600414	1.6	0.35	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0180645140145681	0.0163163333291264	0.00253337585733193	0	0.0453112427600414	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.4	0.00253337585733193	0	0.00452388574387985	0.00452388574387985	0.99547611425612	0.00253337585733193	0.893598201687089	29	0.7977	12.499999	0.0448282767219526	0.104922672943077	0.429769175539515	1.6	0.4	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0238095210560414	0.0283446646459039	0.00253337585733193	0	0.429769175539515	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.45	0	0	0.00452388574387985	0.00452388574387985	0.99547611425612	0.00253337585733193	0.898664954125575	29	0.79797777777778	12.499999	0.0122916236735458	0.0140135820339858	0.0351857804535262	1.6	0.45	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0249999971428571	0.0312499928571431	0.001	0	0.0351857804535262	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.5	0	0	0.00452388574387985	0.00452388574387985	1	0.00452388574387985	0.944265725348123	29	0.7982	12.499999	0.0122916236735458	0.0140135820339858	0	1.6	0.5	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0811688278377466	0.329418930627687	0.001	0	-0.4	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.55	0	0	0.00452388574387985	0.00452388574387985	1	0.00452388574387985	0.944265725348123	29	0.79838181818182	12.499999	0.00704960759410936	0.00582611778772704	0	1.6	0.55	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0811688278377466	0.329418930627687	0.001	0	-0.4	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.6	0	0	0.00452388574387985	0.00452388574387985	1	0	0.987695030877982	29	0.789733333333335	12.499999	0.00704960759410936	0.00582611778772704	0	1.6	0.6	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.65	0	0	0.00452388574387985	0.00452388574387985	1	0	0.987695030877982	29	0.79063076923077	12.499999	0.00704960759410936	0.00582611778772704	0	1.6	0.65	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.7	0	0	0.00452388574387985	0.00452388574387985	1	0	0.992218916621862	29	0.7914	12.499999	0.00704960759410936	0.00582611778772704	0	1.6	0.7	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.75	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992218916621862	29	0.790933333333335	0	0.0045189793289599	0.0040584412627551	0.0150796201943696	1.6	0.75	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.0150796201943696	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.8	0.00452388574387985	0	0	0.00452388574387985	1	0	0.997466624142668	29	0.7916	0	0.0045189793289599	0.0040584412627551	0.147026296895097	1.6	0.8	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.147026296895097	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.85	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992942738398788	29	0.79218823529412	0	0.0045189793289599	0.0040584412627551	0.263449835160445	1.6	0.85	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.263449835160445	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.9	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992942738398788	29	0.79271111111111	0	0.0045189793289599	0.0040584412627551	0.366937424729643	1.6	0.9	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.366937424729643	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:0.95	0.00452388574387985	0	0	0.00452388574387985	1	0	0.992942738398788	29	0.79317894736842	0	0.0045189793289599	0.0040584412627551	0.445245627844266	1.6	0.95	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00452388574387985	0	0.445245627844266	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.6:1	0.00452388574387985	0	0	0.00452388574387985	1	0	0.99547611425612	29	0.7936	0	0.0045189793289599	0.0040584412627551	0.361910884664854	1.6	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	0	0	0.00452388574387985	0	0.361910884664854					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.025	0.283437703469355	0.140059513111459	0.330765291600276	0.537839798327705	0.948065788229344	0.101877913654764	0.483874852808625	29	0.902999999999999	145.864021	0.613536856508779	0.76553030098954	21.4666401130237	1.7	0.025	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.197389943522725	1.94813949019524	0.283437703469355	0	19.4666401130237					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.05	0.190524825939872	0.133002250786426	0.140240465660404	0.277975514165343	0.956570694470141	0.261904005605791	0.390320889950427	29	0.8897	89.499999	0.513396267652336	0.666289711859976	14.9434018850406	1.7	0.05	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.429576807354439	9.22681167084163	0.190524825939872	0	5.74340188504061					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.075	0.10712562117557	0.209365447528352	0.0557342746518766	0.162859895827447	0.994752292479194	0.15239243912579	0.384711271179246	29	0.86318333333333	57.999999	0.330406557570818	0.439016984587248	13.0339551098893	1.7	0.075	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.247676305427959	3.06717761352218	0.10712562117557	0	10.0339551098893					TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.1	0.127935496538386	0.137888047418769	0.0123049691220181	0.110925684056791	0.997466624142668	0.0571819192914623	0.374758721384596	29	0.85	14.499999	0.22923057177277	0.348107893678157	14.780467673029	1.7	0.1	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0914557647538748	0.418207845335804	0.127935496538386	0	14.380467673029	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.15	0.0486770130506648	0.137888047418769	0.00705726160121178	0.0557342746518766	1	0.0551914094049143	0.436345053483171	29	0.85	12.499999	0.140088366789643	0.222620880768835	6.33260507067617	1.7	0.15	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0979170142051907	0.479387083542976	0.0486770130506648	0	5.93260507067617	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.2	0.00778108337813829	0.137888047418769	0.00452388574387985	0.0123049691220181	1	0.0434293055298584	0.652718550693943	29	0.84515	12.499999	0.101225142174566	0.170474416337718	2.07701561486371	1.7	0.2	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.125055068782509	0.781938511409906	0.00778108337813829	0	1.27701561486371	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.25	0.00778108337813829	0.137888047418769	0.00452388574387985	0.00705726160121178	1	0.00524770752080637	0.802396659241991	29	0.84615	12.499999	0.0556738276175821	0.112498430308397	1.17286269947762	1.7	0.25	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0265567753089401	0.0352631157404766	0.00778108337813829	0	1.17286269947762	FALSE				TRUE
SLX-12456_SLX-12458.D704_D504	SLX-12456_SLX-12458.D704_D504:1.7:0.3	0.00253337585733193	0.137888047418769	0.00452388574387985	0.00705726160121178	1	0.00524770752080637	0.859759534339596	29	0.846816666666665	12.499999	0.0122916236735458	0.0140135820339858	0.0603787992583163	1.7	0.3	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0374193532237252	0.0700103997840958	0.00253337585733193	0	0.0603787992583163	FALSE				TRUE
