sample	sample_sol	frac_at_odd	frac_at_2	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	gii	wgii	goodness_of_fit	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	purity_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.01	0.137944194310338	0.156023381077508	0.095096519864227	0.143548740038658	1	0.052248849395537	0.155119420292814	26	0.955	89.499999	0.616909868862586	0.64504595479879	23.8795120864915	1.91	0.01	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.0618416976913413	0.191219778667362	0.137944194310338	0	23.6795120864915				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.02	0.162712679458193	0.382978597957779	0.0509833048755001	0.0833450488271503	0.977220225396534	0.202486889984383	0.368876831917803	26	0.9697	35.499999	0.430547147511817	0.508682318435154	22.114440083202	1.91	0.02	0	FALSE	TRUE	FALSE	TRUE	FALSE	0.320835773783559	5.14677968696476	0.162712679458193	0	16.914440083202				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.03	0.158373674272489	0.382978597957779	0.0394126257060952	0.0833450488271503	0.987163777756893	0.101243445172983	0.468312358414069	26	0.955	35.499999	0.37089661632054	0.417773227526063	25.0837755040182	1.91	0.03	0	FALSE	TRUE	FALSE	TRUE	FALSE	0.190419030374661	1.81297035644131	0.158373674272489	0	23.2837755040182				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.04	0.0343504537728714	0.520922792268117	0.0166328511026287	0.0509833048755001	1	0.114079667054506	0.35224398045359	26	0.955	35.499999	0.288470427489253	0.326864136616972	29.2719868389392	1.91	0.04	0	FALSE	FALSE	FALSE	TRUE	FALSE	0.176115178573548	1.55082780619963	0.0343504537728714	0	27.6719868389392				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.05	0.0356159968465733	0.520922792268117	0.00379662885952192	0.0394126257060952	0.996203371140478	0.167774851391417	0.395814820200886	26	0.974955	10.499999	0.203152092017579	0.224005582485058	30.5731441675943	1.91	0.05	0	FALSE	FALSE	FALSE	TRUE	FALSE	0.277687796723515	3.85552562245802	0.0356159968465733	0	26.7731441675943				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.06	0.0128362222431068	0.568832636839533	0.00379662885952192	0.0166328511026287	0.996203371140478	0.158373674272489	0.444267040375317	26	0.971621666666665	10.499999	0.191583504371473	0.178551037030512	31.8533899688021	1.91	0.06	0	FALSE	FALSE	FALSE	TRUE	FALSE	0.28498161127504	4.06072593824589	0.0128362222431068	0	27.853389968802				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.07	0.0128362222431068	0.638256713302298	0.00379662885952192	0.0166328511026287	1	0.0911190991370333	0.520922792268117	26	0.969240714285715	10.499999	0.191583504371473	0.178551037030512	33.1343320266762	1.91	0.07	0	FALSE	FALSE	FALSE	TRUE	FALSE	0.190197107410771	1.80874698337122	0.0128362222431068	0	31.3343320266762				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.08	0.0128362222431068	0.711477418986168	0.00379662885952192	0.00379662885952192	1	0.0343504537728714	0.520922792268117	26	0.967455	10.499999	0.168807847454499	0.1512571358895	36.7275735660073	1.91	0.08	0	FALSE	FALSE	FALSE	TRUE	FALSE	0.0717012899350781	0.257053748917707	0.0128362222431068	0	36.5275735660073				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.09	0.00379662885952192	0.764449435490808	0.00379662885952192	0.00379662885952192	1	0.0227797746034665	0.569375012442548	26	0.96606611111111	10.499999	0.168807847454499	0.1512571358895	33.9180514392959	1.91	0.09	0	FALSE	FALSE	FALSE	TRUE	FALSE	0.0528993329733967	0.139916971451515	0.00379662885952192	0	33.7180514392959				
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.1	0.00379662885952192	0.764449435490808	0	0.00379662885952192	1	0.0356159968465733	0.57317164130207	26	0.97491	0	0.168807847454499	0.1512571358895	40.4182471212255	1.91	0.1	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0834433704340134	0.348139803469399	0.00379662885952192	0	40.0182471212255	FALSE			
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.11	0.00379662885952192	0.764449435490808	0	0.00379662885952192	1	0.0128362222431068	0.584923112339147	26	0.971793272727272	0	0.155973945495059	0.142292489627575	45.7998898455591	1.91	0.11	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.030924926500834	0.0478175539540993	0.00379662885952192	0	45.7998898455591	FALSE			
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.12	0.00379662885952192	0.764449435490808	0	0.00379662885952192	1	0.0128362222431068	0.584923112339147	26	0.96328833333333	0	0.155973945495059	0.142292489627575	41.4646425863005	1.91	0.12	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.030924926500834	0.0478175539540993	0.00379662885952192	0	41.4646425863005	FALSE			
SLX-12455.D707_D508	SLX-12455.D707_D508:1.91:0.13	0.00379662885952192	0.764449435490808	0	0.00379662885952192	1	0.0936289505564116	0.629036328051041	26	0.962647307692305	0	0.155973945495059	0.142292489627575	43.3042391976437	1.91	0.13	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.252393853189199	3.18513285638454	0.00379662885952192	0	40.1042391976437	FALSE			
