sample	sample_sol	frac_at_odd	frac_at_2	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	gii	wgii	goodness_of_fit	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	purity_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.1	0.0152333352565299	0.536975089735937	0.0426170698137238	0.0578504050702537	0.979507536844948	0.0549488179895693	0.634239894643231	30	0.91518	60.999999	0.124000799453059	0.197995693233955	24.0147509279883	1.91	0.1	0	TRUE	TRUE	FALSE	FALSE	FALSE	0.150231851929207	1.12848046670396	0.0152333352565299	0	22.8147509279883				
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.11	0.0373579419152014	0.536975089735937	0.0204924631550523	0.0496896897283485	0.993471427799015	0.0665551688511961	0.67341132966263	30	0.918816363636365	38.499999	0.0916449052307525	0.15254114777941	23.378423166988	1.91	0.11	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.203788970335204	2.07649722151414	0.0373579419152014	0	21.378423166988	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.12	0.0291972265732962	0.571493059062119	0.0204924631550523	0.0496896897283485	1	0.0805190598052639	0.735432768654919	30	0.921846666666665	38.499999	0.0798955583970273	0.107086602324865	24.5226134181704	1.91	0.12	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.304342527212832	4.63121869351468	0.0291972265732962	0	19.9226134181704	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.13	0.0221246066586715	0.651830770717599	0.0204924631550523	0.0426170698137238	1	0.0627468341303174	0.735432768654919	30	0.92441076923077	38.499999	0.057662179042911	0.0545560196537989	25.8998126932572	1.91	0.13	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.237167822376594	2.81242879854279	0.0221246066586715	0	23.0998126932572	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.14	0.0221246066586715	0.682841490032394	0.0204924631550523	0.0426170698137238	1	0.0440678629913675	0.735432768654919	30	0.92660857142857	38.499999	0.057662179042911	0.0545560196537989	26.1139044739218	1.91	0.14	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.166565839493134	1.38720894430262	0.0221246066586715	0	24.7139044739218	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.15	0.0221246066586715	0.751391501225668	0.0204924631550523	0.0426170698137238	1	0.0268396861181567	0.713308161996248	30	0.928513333333335	38.499999	0.057662179042911	0.0545560196537989	25.961888908707	1.91	0.15	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0936185916733541	0.438222035345111	0.0221246066586715	0	25.561888908707	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.16	0.0360884976127393	0.751391501225668	0.0204924631550523	0.0426170698137238	1	0.0152333352565299	0.713308161996248	30	0.93018	38.499999	0.0495280159615684	0.0491590421726923	25.9080886353879	1.91	0.16	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0531348759790313	0.141165752265352	0.0360884976127393	0	25.7080886353879	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.17	0.0426170698137238	0.751391501225668	0.00652857220098447	0.0426170698137238	1	0.0152333352565299	0.727272052950316	30	0.931650588235295	17.999999	0.0424784080059407	0.0442347999736182	26.2780169217738	1.91	0.17	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.055855424503873	0.155991422325393	0.0426170698137238	0	26.0780169217738	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.18	0.0426170698137238	0.751391501225668	0	0.0204924631550523	1	0.0152333352565299	0.760228294143058	30	0.93295777777778	0	0.0424784080059407	0.0442347999736182	27.2315218092386	1.91	0.18	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0635326641318504	0.201819970584525	0.0426170698137238	0	27.0315218092386	FALSE			
SLX-10722_SLX-11823.D708_D505	SLX-10722_SLX-11823.D708_D505:1.91:0.19	0.0204924631550523	0.751391501225668	0	0.0204924631550523	1	0.00707261991462471	0.771834645004685	30	0.934127368421055	0	0.0424784080059407	0.0442347999736182	28.4661884921209	1.91	0.19	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0309977819146554	0.0480431241814269	0.0204924631550523	0	28.4661884921209	FALSE			
